QID;label
Q1;Pos
Q2;Strand
Q3;Length
Q4;TSS
Q5;Locus tag
Q6;b001
Q7;TSS_38_+
Q8;Gene
Q9;Transcription Start Site
Q11;LB_0.4
Q12;LB_2.0
Q10;M63_0.4
Q21;b0009
Q22;b0010
Q23;b0011
Q24;b0013
Q13;b0001
Q14;b0002
Q15;b0003
Q16;b0004
Q17;b0005
Q18;b0006
Q19;b0007
Q20;b0008
Q32;b0020
Q33;b0021
Q34;b0022
Q35;b0023
Q36;b0024
Q25;b0014
Q26;b0015
Q27;b0016
Q29;b0018
Q31;b0019
Q28;b4412
Q30;b4413
Q53;b0042
Q54;b0045
Q55;b0046
Q56;b0047
Q57;b0048
Q37;b0025
Q38;b0026
Q39;b0027
Q40;b0029
Q41;b0030
Q42;b0031
Q58;b0049
Q59;b0050
Q60;b0051
Q61;b0052
Q51;b0041
Q52;b0043
Q82;b0074
Q83;b0075
Q43;b0032
Q44;b0033
Q45;b0034
Q46;b0035
Q47;b0036
Q48;b0037
Q49;b0039
Q50;b0040
Q91;b0084
Q62;b0053
Q63;b0054
Q64;b0055
Q84;b0076
Q85;b0077
Q86;b0078
Q87;b0080
Q88;b0081
Q89;b0082
Q90;b0083
Q66;b0058
Q67;b0059
Q68;b0060
Q69;b0061
Q70;b0062
Q71;b0063
Q65;b4659
Q72;b0064
Q73;b0065
Q74;b0067
Q75;b0068
Q76;b0069
Q79;b0070
Q80;b0071
Q81;b0072
Q77;b4577
Q78;b4662
Q112;b0108
Q113;b0109
Q114;b0110
Q115;b0111
Q116;b0112
Q117;b0113
Q118;b0114
Q119;b0115
Q120;b0116
Q102;b0096
Q103;b0097
Q111;b0107
Q92;b0085
Q100;b0094
Q101;b0095
Q93;b0086
Q94;b0088
Q95;b0089
Q96;b0090
Q97;b0091
Q98;b0092
Q99;b0093
Q104;b0098
Q105;b0099
Q106;b0101
Q107;b0102
Q108;b0103
Q109;b0104
Q110;b0106
Q131;b0127
Q132;b0128
Q133;b0129
Q134;b0130
Q135;b0131
Q136;b0132
Q137;b0133
Q138;b0134
Q139;b0135
Q140;b0137
Q127;b0123
Q128;b0124
Q129;b0125
Q130;b0126
Q121;b0117
Q122;b0118
Q123;b0119
Q124;b0120
Q125;b0121
Q126;b0122
Q148;b0145
Q149;b0146
Q150;b0147
Q151;b0148
Q152;b0149
Q141;b0138
Q142;b0139
Q143;b0140
Q144;b0141
Q145;b0142
Q146;b0143
Q147;b0144
Q160;b0157
Q161;b0158
Q162;b0159
Q163;b0160
Q164;b0161
Q165;b0162
Q166;b0163
Q167;b0164
Q168;b0166
Q153;b0150
Q154;b0151
Q155;b0152
Q156;b0153
Q157;b0154
Q158;b0155
Q159;b0156
Q169;b0167
Q170;b0168
Q172;b0169
Q173;b0170
Q174;b0171
Q175;b0172
Q176;b0173
Q171;b4414
Q177;b0174
Q178;b0175
Q179;b0176
Q188;b0186
Q189;b0187
Q190;b0188
Q191;b0189
Q180;b0177
Q181;b0178
Q182;b0179
Q183;b0180
Q184;b0181
Q185;b0182
Q186;b0184
Q187;b0185
Q199;b0196
Q200;b0197
Q201;b0198
Q202;b0199
Q203;b0200
Q204;b0201
Q205;b0202
Q206;b0203
Q207;b0204
Q208;b0205
Q193;b0190
Q194;b0191
Q195;b0192
Q196;b0193
Q197;b0194
Q198;b0195
Q192;b4406
Q210;b0206
Q209;b0207
Q211;b0208
Q212;b0209
Q213;b0210
Q214;b0211
Q215;b0212
Q216;b0213
Q218;b0214
Q217;b0215
Q219;b0216
Q220;b0217
Q222;b0218
Q223;b0219
Q224;b0220
Q225;b0221
Q221;b4586
Q226;b0222
Q227;b0223
Q228;b0224
Q229;b0225
Q230;b0226
Q231;b0227
Q232;b0228
Q233;b0229
Q234;b0230
Q235;b0231
Q236;b0232
Q237;b0233
Q238;b0235
Q239;b0237
Q240;b0238
Q248;b0245
Q249;b0247
Q250;b0248
Q262;b0258
Q261;b4690
Q241;b0239
Q242;b0240
Q243;b0241
Q244;b0242
Q245;b0243
Q246;b0244
Q247;b4626
Q263;b0259
Q264;b0260
Q265;b0261
Q266;b0262
Q267;b0263
Q268;b0264
Q251;b0249
Q252;b0250
Q253;b0251
Q256;b0252
Q254;b4627
Q255;b4628
Q257;b0253
Q258;b0254
Q259;b0256
Q260;b4587
Q276;b0270
Q277;b0272
Q278;b0273
Q279;b4688
Q269;b0265
Q272;b0266
Q273;b0267
Q274;b0268
Q275;b0269
Q271;b4505
Q270;b4708
Q280;b0274
Q281;b0275
Q282;b0276
Q283;b0277
Q284;b0278
Q285;b0279
Q286;b0280
Q287;b0281
Q288;b4629
Q299;b0291
Q300;b0293
Q301;b0294
Q291;b0283
Q292;b0284
Q293;b0285
Q289;b4694
Q290;b4695
Q302;b0295
Q304;b0296
Q307;b0298
Q308;b0299
Q303;b4506
Q306;b4630
Q305;b4671
Q294;b0286
Q295;b0287
Q296;b0288
Q297;b0289
Q298;b0290
Q314;b0305
Q315;b0306
Q316;b0307
Q317;b0308
Q318;b0310
Q309;b0300
Q311;b0301
Q312;b0303
Q313;b0304
Q310;b4631
Q319;b0311
Q320;b0312
Q321;b0313
Q322;b0314
Q323;b0315
Q324;b0316
Q325;b0317
Q326;b0319
Q327;b0318
Q328;b0321
