qid,P17
Q4220,Q12
Q4223,Q12
Q4225,Q12
Q4228,Q11
Q4229,Q11
Q4235,Q12
Q4238,Q12
Q4240,Q12
Q4241,Q12
Q4246,Q11
Q4254,Q12
Q4255,Q12
Q4256,Q12
Q4257,Q12
Q4259,Q12
Q4260,Q11
Q4261,Q12
Q4262,Q12
Q4266,Q12
Q4270,Q11
Q4271,Q12
Q4274,Q12
Q4275,Q12
Q4276,Q12
Q4278,Q10
Q4279,Q10
Q4281,Q12
Q4284,Q12
Q4285,Q12
Q4288,Q12
Q4289,Q12
Q4290,Q12
Q4292,Q12
Q4293,Q11
Q4296,Q12
Q4297,Q12
Q4298,Q12
Q4300,Q12
,Q12
Q4302,Q12
Q4304,Q12
Q4305,Q11
Q4306,Q12
Q4308,Q12
Q4310,Q12
Q4311,Q11
Q4313,Q11
Q4314,Q11
Q4315,Q12
Q4316,Q11
Q4318,Q12
Q4319,Q12
Q4321,Q11
Q4322,Q12
Q4325,Q12
Q4326,Q11
Q4328,Q12
Q4332,Q12
Q4334,Q12
Q4335,Q12
Q4336,Q12
Q4346,Q12
Q4347,Q12
Q4350,Q12
Q4352,Q12
Q4355,Q12
Q4356,Q12
Q4358,Q11
Q4367,Q12
Q4370,Q12
Q4373,Q12
Q4375,Q12
Q4377,Q12
Q4379,Q12
Q4380,Q11
Q4384,Q12
Q4385,Q12
Q4386,Q11
Q4388,Q12
Q4393,Q12
Q4394,Q11
Q4398,Q12
Q4399,Q12
Q4403,Q12
,Q12
Q4406,Q12
Q4408,Q12
Q4418,Q12
Q4423,Q12
Q4425,Q12
Q4426,Q12
Q4427,Q12
Q4428,Q11
Q4429,Q12
Q4430,Q12
Q4431,Q12
Q4433,Q12
Q4434,Q12
Q4435,Q11
Q4437,Q12
Q4438,Q12
Q4439,Q12
Q4445,Q12
Q4446,Q12
Q4447,Q12
Q4451,Q12
,Q12
Q4456,Q12
Q4457,Q12
Q4461,Q10
Q4462,Q12
Q4463,Q11
Q4464,Q10
Q4465,Q12
Q4466,Q10
Q4468,Q12
Q4469,Q12
Q4470,Q12
Q4472,Q12
Q4473,Q12
Q4474,Q12
Q4480,Q12
Q4483,Q12
Q4486,Q12
Q4489,Q12
Q4496,Q12
Q4498,Q12
Q4500,Q12
Q4501,Q11
Q4503,Q11
Q4504,Q11
Q4507,Q12
Q4509,Q12
Q4511,Q12
Q4512,Q12
Q4515,Q12
Q4516,Q12
Q4518,Q11
Q4525,Q12
Q4526,Q11
Q4527,Q12
Q4528,Q12
Q4530,Q12
Q4533,Q12
Q4534,Q11
Q4536,Q12
Q4537,Q12
Q4539,Q11
Q4540,Q12
Q4543,Q12
Q4548,Q12
Q4549,Q12
Q4551,Q12
Q4552,Q12
Q4553,Q12
Q4557,Q12
Q4562,Q12
Q4563,Q12
Q4564,Q11
Q4565,Q12
Q4566,Q12
Q4568,Q12
Q4569,Q11
Q4571,Q11
Q4572,Q12
Q4573,Q12
Q4574,Q12
Q4575,Q12
Q4576,Q12
Q4577,Q12
Q4578,Q11
Q4579,Q12
Q4581,Q12
Q4590,Q12
Q4598,Q12
Q4599,Q12
Q4601,Q12
Q4605,Q12
