qid,Len,Den,P7,P13
,b0001,thr operon leader peptide,"""66""",Q8
,b0002,fused aspartokinase I and homoserine dehydrogenase I,"""2463""",Q8
,b0003,homoserine kinase,"""933""",Q8
,b0004,threonine synthase,"""1287""",Q8
,b0005,hypothetical protein,"""297""",Q8
,b0006,peroxide resistance protein%2C lowers intracellular iron,"""777""",Q8
,b0007,putative transporter,"""1431""",Q8
,b0008,transaldolase B,"""954""",Q8
,b0009,molybdochelatase incorporating molybdenum into molybdopterin,"""588""",Q8
,b0010,inner membrane protein%2C Grp1_Fun34_YaaH family,"""567""",Q8
,b0011,conserved protein%2C UPF0174 family,"""714""",Q8
,b0013,conserved protein%2C UPF0412 family,"""405""",Q8
,b0014,chaperone Hsp70%2C co-chaperone with DnaJ,"""1917""",Q8
,b0015,chaperone Hsp40%2C co-chaperone with DnaK,"""1131""",Q8
,b0016,IS186 transposase,"""1113""",Q8
,b4412,toxic membrane protein%2C small,"""153""",Q8
,b0018,regulatory protein for HokC%2C overlaps CDS of hokC,"""210""",Q8
,b4413,sRNA antisense regulator blocking mokC%2C and hence hokC%2C translation,"""55""",Q8
,b0019,sodium-proton antiporter,"""1167""",Q8
,b0020,DNA-binding transcriptional activator,"""906""",Q8
,b0021,IS1 transposase B,"""504""",Q8
,b0022,IS1 repressor TnpA,"""276""",Q8
,b0023,30S ribosomal subunit protein S20,"""264""",Q8
,b0024,hypothetical protein,"""219""",Q8
,b0025,bifunctional riboflavin kinase%2FFAD synthetase,"""942""",Q8
,b0026,isoleucyl-tRNA synthetase,"""2817""",Q8
,b0027,prolipoprotein signal peptidase %28signal peptidase II%29,"""495""",Q8
,b0029,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,"""951""",Q8
,b0030,ribonucleoside hydrolase 3,"""915""",Q8
,b0031,dihydrodipicolinate reductase,"""822""",Q8
,b0032,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,"""1149""",Q8
,b0033,carbamoyl-phosphate synthase large subunit,"""3222""",Q8
,b0034,DNA-binding transcriptional activator,"""396""",Q8
,b0035,stimulator of CaiD and CaiB enzyme activities,"""591""",Q8
,b0036,carnitinyl-CoA dehydratase,"""786""",Q8
,b0037,putative crotonobetaine%2Fcarnitine-CoA ligase,"""1554""",Q8
,b0039,crotonobetaine reductase subunit II%2C FAD-binding,"""1143""",Q8
,b0040,putative transporter,"""1515""",Q8
,b0041,putative electron transfer flavoprotein subunit%2C required for anaerobic carnitine reduction,"""771""",Q8
,b0043,putative oxidoreductase with FAD%2FNAD%28P%29-binding domain,"""1287""",Q8
,b0042,putative electron transfer flavoprotein%2C NAD%2FFAD-binding domain and ETFP adenine nucleotide-binding domain-like protein,"""942""",Q8
,b0045,putative transporter,"""1332""",Q8
,b0046,potassium-efflux system ancillary protein for KefC%2C glutathione-regulated%3B quinone oxidoreductase%2C FMN-dependent,"""531""",Q8
,b0047,potassium:proton antiporter,"""1863""",Q8
,b0048,dihydrofolate reductase,"""480""",Q8
,b0049,diadenosine tetraphosphatase,"""843""",Q8
,b0050,protein associated with Co2%2B and Mg2%2B efflux,"""378""",Q8
,b0051,16S rRNA m%286%29A1518%2C m%286%29A1519 dimethyltransferase%2C SAM-dependent,"""822""",Q8
,b0052,4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent,"""990""",Q8
,b0053,peptidyl-prolyl cis-trans isomerase %28PPIase%29,"""1287""",Q8
,b0054,LPS assembly OM complex LptDE%2C beta-barrel component,"""2355""",Q8
,b0055,DnaJ-like protein%2C membrane anchored,"""816""",Q8
,b4659,pseudo,"""796""",Q8
,b0058,dual specificity 23S rRNA pseudouridine%28746%29%2C tRNA pseudouridine%2832%29 synthase%2C SAM-dependent,"""660""",Q8
,b0059,RNA polymerase-associated helicase protein %28ATPase and RNA polymerase recycling factor%29,"""2907""",Q8
,b0060,DNA polymerase II,"""2352""",Q8
,b0061,L-ribulose-5-phosphate 4-epimerase,"""696""",Q8
,b0062,L-arabinose isomerase,"""1503""",Q8
,b0063,L-ribulokinase,"""1701""",Q8
,b0064,DNA-binding transcriptional dual regulator,"""879""",Q8
,b0065,inner membrane protein%2C SNARE_assoc family,"""765""",Q8
,b0067,fused thiamin transporter subunits of ABC superfamily: membrane components,"""1611""",Q8
,b0068,thiamin transporter subunit,"""984""",Q8
,b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,"""1656""",Q8
,b4577,sRNA antisense regulator destabilzes ptsG mRNA%2C Hfq-dependent%3B regulated by sgrR,"""227""",Q8
,b4662,Inhibitor of glucose uptake,"""132""",Q8
,b0070,broad specificity sugar efflux system,"""1179""",Q8
,b0071,3-isopropylmalate dehydratase small subunit,"""606""",Q8
,b0072,3-isopropylmalate dehydratase large subunit,"""1401""",Q8
,b0074,2-isopropylmalate synthase,"""1572""",Q8
,b0075,leu operon leader peptide,"""87""",Q8
,b0076,DNA-binding transcriptional activator,"""945""",Q8
,b0077,acetolactate synthase III%2C large subunit,"""1725""",Q8
,b0078,acetolactate synthase III%2C thiamin-dependent%2C small subunit,"""492""",Q8
,b0080,DNA-binding transcriptional repressor-activator for carbon metabolism,"""1005""",Q8
,b0081,RsmH methytransferase inhibitor,"""459""",Q8
,b0082,16S rRNA m%284%29C1402 methyltransferase%2C SAM-dependent,"""942""",Q8
,b0083,membrane bound cell division protein at septum containing leucine zipper motif,"""366""",Q8
,b0084,transpeptidase involved in septal peptidoglycan synthesis %28penicillin-binding protein 3%29,"""1767""",Q8
,b0085,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,"""1488""",Q8
,b0086,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,"""1359""",Q8
,b0088,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,"""1317""",Q8
,b0089,lipid II flippase%3B integral membrane protein involved in stabilizing FstZ ring during cell division,"""1245""",Q8
,b0090,N-acetylglucosaminyl transferase,"""1068""",Q8
,b0091,UDP-N-acetylmuramate:L-alanine ligase,"""1476""",Q8
,b0092,D-alanine:D-alanine ligase,"""921""",Q8
,b0093,divisome assembly protein%2C membrane anchored protein involved in growth of wall at septum,"""831""",Q8
,b0094,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,"""1263""",Q8
,b0095,GTP-binding tubulin-like cell division protein,"""1152""",Q8
,b0096,UDP-3-O-acyl N-acetylglucosamine deacetylase,"""918""",Q8
,b0097,regulator of secA translation,"""513""",Q8
,b0098,preprotein translocase subunit%2C ATPase,"""2706""",Q8
,b0099,nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP,"""390""",Q8
,b0101,DNA gyrase inhibitor,"""198""",Q8
,b0102,FtsZ stabilizer,"""744""",Q8
,b0103,dephospho-CoA kinase,"""621""",Q8
,b0104,GMP reductase,"""1044""",Q8
,b0106,assembly protein in type IV pilin biogenesis%2C transmembrane protein,"""1203""",Q8
,b0107,conserved protein with nucleoside triphosphate hydrolase domain,"""1386""",Q8
,b0108,putative major pilin subunit,"""441""",Q8
,b0109,quinolinate phosphoribosyltransferase,"""894""",Q8
,b0110,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase,"""552""",Q8
,b0111,putative inner membrane protein,"""855""",Q8
,b0112,aromatic amino acid transporter,"""1374""",Q8
,b0113,DNA-binding transcriptional dual regulator,"""765""",Q8
