;qid;Len;Den;P1;P2;P3;P4;P5
0;;38_+;TSS;38;+;Q6;Q4;LB_2.0
1;;113_+;TSS;113;+;Q6;Q4;M63_0.4
2;;113_+;TSS;113;+;Q6;Q4;LB_0.4
3;;113_+;TSS;113;+;Q6;Q4;LB_2.0
4;;122_-;TSS;122;-;Q6;Q4;M63_0.4
5;;122_-;TSS;122;-;Q6;Q4;LB_2.0
6;;148_+;TSS;148;+;Q6;Q4;M63_0.4
7;;148_+;TSS;148;+;Q6;Q4;LB_0.4
8;;148_+;TSS;148;+;Q6;Q4;LB_2.0
9;;412_+;TSS;412;+;;Q4;LB_2.0
10;;1176_-;TSS;1176;-;;Q4;M63_0.4
11;;1176_-;TSS;1176;-;;Q4;LB_0.4
12;;1176_-;TSS;1176;-;;Q4;LB_2.0
13;;2259_-;TSS;2259;-;;Q4;M63_0.4
14;;2259_-;TSS;2259;-;;Q4;LB_2.0
15;;2391_+;TSS;2391;+;;Q4;LB_0.4
16;;2391_+;TSS;2391;+;;Q4;LB_2.0
17;;2581_+;TSS;2581;+;;Q4;M63_0.4
18;;2581_+;TSS;2581;+;;Q4;M63_0.4
19;;2581_+;TSS;2581;+;;Q4;LB_0.4
20;;2581_+;TSS;2581;+;;Q4;LB_0.4
21;;2581_+;TSS;2581;+;;Q4;LB_2.0
22;;2581_+;TSS;2581;+;;Q4;LB_2.0
23;;3729_-;TSS;3729;-;;Q4;M63_0.4
24;;3729_-;TSS;3729;-;;Q4;M63_0.4
25;;3729_-;TSS;3729;-;;Q4;LB_0.4
26;;3729_-;TSS;3729;-;;Q4;LB_0.4
27;;3729_-;TSS;3729;-;;Q4;LB_2.0
28;;3729_-;TSS;3729;-;;Q4;LB_2.0
29;;3756_+;TSS;3756;+;;Q4;LB_2.0
30;;4787_+;TSS;4787;+;;Q4;LB_0.4
31;;4787_+;TSS;4787;+;;Q4;LB_2.0
32;;4996_-;TSS;4996;-;;Q4;LB_2.0
33;;5078_-;TSS;5078;-;;Q4;LB_2.0
34;;5147_+;TSS;5147;+;;Q4;LB_0.4
35;;5147_+;TSS;5147;+;;Q4;LB_2.0
36;;5652_+;TSS;5652;+;;Q4;M63_0.4
37;;5652_+;TSS;5652;+;;Q4;LB_0.4
38;;5652_+;TSS;5652;+;;Q4;LB_2.0
39;;5761_+;TSS;5761;+;;Q4;M63_0.4
40;;5829_-;TSS;5829;-;;Q4;LB_2.0
41;;5925_-;TSS;5925;-;;Q4;M63_0.4
42;;5925_-;TSS;5925;-;;Q4;LB_0.4
43;;5925_-;TSS;5925;-;;Q4;LB_2.0
44;;5943_+;TSS;5943;+;;Q4;LB_2.0
45;;6728_+;TSS;6728;+;;Q4;M63_0.4
46;;6728_+;TSS;6728;+;;Q4;LB_0.4
47;;6728_+;TSS;6728;+;;Q4;LB_2.0
48;;6966_+;TSS;6966;+;;Q4;M63_0.4
49;;6966_+;TSS;6966;+;;Q4;LB_0.4
50;;6966_+;TSS;6966;+;;Q4;LB_2.0
51;;7418_+;TSS;7418;+;;Q4;M63_0.4
52;;7418_+;TSS;7418;+;;Q4;LB_2.0
53;;7482_-;TSS;7482;-;;Q4;M63_0.4
54;;7482_-;TSS;7482;-;;Q4;LB_2.0
55;;8042_+;TSS;8042;+;;Q4;M63_0.4
56;;8042_+;TSS;8042;+;;Q4;M63_0.4
57;;8053_-;TSS;8053;-;;Q4;M63_0.4
58;;8053_-;TSS;8053;-;;Q4;LB_2.0
59;;8226_-;TSS;8226;-;;Q4;M63_0.4
60;;8226_-;TSS;8226;-;;Q4;M63_0.4
61;;8226_-;TSS;8226;-;;Q4;LB_0.4
