qid,Len,Den,P13,P14,P15,P16,P17
,38_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""38""","""+""",Q13,Q12
,113_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""113""","""+""",Q13,Q10
,122_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""122""","""-""",Q13,Q10
,148_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""148""","""+""",Q13,Q10
,412_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""412""","""+""",Q14,Q12
,1176_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1176""","""-""",Q14,Q10
,2259_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2259""","""-""",Q14,Q10
,2391_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2391""","""+""",Q14,Q11
,2581_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2581""","""+""",Q15,Q10
,3729_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""3729""","""-""",Q15,Q10
,3756_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""3756""","""+""",Q16,Q12
,4787_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""4787""","""+""",Q16,Q11
,4996_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""4996""","""-""",Q16,Q12
,5078_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5078""","""-""",Q16,Q12
,5147_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5147""","""+""",Q17,Q11
,5652_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5652""","""+""",Q18,Q10
,5761_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5761""","""+""",Q18,Q10
,5829_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5829""","""-""",Q18,Q12
